parent_directory,file_name,id,tx,sex,phase,trial,escape_arm,start_datetime
EHRAM Cohort 1 DARPA videos,Test 202.mp4,3208,NoSD,F,SD,4,5,2025-11-21T16:29:51
EHRAM Cohort 1 DARPA videos,Test 203.mp4,3209,GHSD,F,SD,4,7,2025-11-21T16:33:23
EHRAM Cohort 1 DARPA videos,Test 204.mp4,3210,GHSD,F,SD,4,7,2025-11-21T16:37:49
EHRAM Cohort 1 DARPA videos,Test 205.mp4,3211,GHSD,F,SD,4,7,2025-11-21T16:41:20
EHRAM Cohort 1 DARPA videos,Test 206.mp4,3212,GHSD,F,SD,4,7,2025-11-21T16:45:17
EHRAM Cohort 1 DARPA videos,Test 207.mp4,3213,GHSD,F,SD,4,2,2025-11-21T16:50:00
EHRAM Cohort 1 DARPA videos,Test 208.mp4,3214,GHSD,F,SD,4,0,2025-11-21T16:54:00
EHRAM Cohort 1 DARPA videos,Test 209.mp4,3201,RBSD,F,RECOV,1,5,2025-11-22T13:03:56
EHRAM Cohort 1 DARPA videos,Test 210.mp4,3202,RBSD,F,RECOV,1,3,2025-11-22T13:07:58
EHRAM Cohort 1 DARPA videos,Test 211.mp4,3203,RBSD,F,RECOV,1,1,2025-11-22T13:12:18
EHRAM Cohort 1 DARPA videos,Test 212.mp4,3205,RBSD,F,RECOV,1,3,2025-11-22T13:15:57
EHRAM Cohort 1 DARPA videos,Test 213.mp4,3206,RBSD,F,RECOV,1,6,2025-11-22T13:23:10
EHRAM Cohort 1 DARPA videos,Test 215.mp4,3201,RBSD,F,RECOV,2,2,2025-11-22T13:27:50
EHRAM Cohort 1 DARPA videos,Test 216.mp4,3202,RBSD,F,RECOV,2,6,2025-11-22T13:32:01
EHRAM Cohort 1 DARPA videos,Test 217.mp4,3203,RBSD,F,RECOV,2,5,2025-11-22T13:37:18
EHRAM Cohort 1 DARPA videos,Test 218.mp4,3205,RBSD,F,RECOV,2,2,2025-11-22T13:41:18
EHRAM Cohort 1 DARPA videos,Test 219.mp4,3206,RBSD,F,RECOV,2,3,2025-11-22T13:45:23
EHRAM Cohort 1 DARPA videos,Test 221.mp4,3201,RBSD,F,RECOV,3,1,2025-11-22T13:51:21
EHRAM Cohort 1 DARPA videos,Test 222.mp4,3202,RBSD,F,RECOV,3,7,2025-11-22T13:56:18
EHRAM Cohort 1 DARPA videos,Test 223.mp4,3203,RBSD,F,RECOV,3,6,2025-11-22T14:01:02
EHRAM Cohort 1 DARPA videos,Test 224.mp4,3205,RBSD,F,RECOV,3,7,2025-11-22T14:05:00
EHRAM Cohort 1 DARPA videos,Test 225.mp4,3206,RBSD,F,RECOV,3,0,2025-11-22T14:08:53
EHRAM Cohort 1 DARPA videos,Test 227.mp4,3201,RBSD,F,RECOV,4,7,2025-11-22T14:14:06
EHRAM Cohort 1 DARPA videos,Test 228.mp4,3202,RBSD,F,RECOV,4,0,2025-11-22T14:18:20
EHRAM Cohort 1 DARPA videos,Test 229.mp4,3203,RBSD,F,RECOV,4,0,2025-11-22T14:22:49
